representative	genome
20120600_P3M_2	20120600_P3M_2
3300037076_11	3300037076_11
Fen.Unlabelled.R1.T2.F1.JGI.BFC.metaspades_bin.10_78.91_3.92	Fen.Unlabelled.R1.T2.F1.JGI.BFC.metaspades_bin.10_78.91_3.92
PMDK01	PMDK01
PLSG01	PLSG01
PMDY01	PMDY01
3300038476_2	3300038476_2
3300038478_6	3300038478_6
20120700_P3D_146	20120700_P3D_146
Bog.Unlabelled.R1.T2.F2.JGI.BFC.metaspades_bin.36_70.45_7.93	Bog.Unlabelled.R1.T2.F2.JGI.BFC.metaspades_bin.36_70.45_7.93
20110600_P1M_22	20110600_P1M_22
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.132_71.57_6.17	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.132_71.57_6.17
Fen.Labelled.R3.T2.F2.JGI.BFC.metaspades_bin.29_70.49_8.96	Fen.Labelled.R3.T2.F2.JGI.BFC.metaspades_bin.29_70.49_8.96
Bog.None.R2.T0.trimmomatic.megahit_bin.272_80.28_7.13	Bog.None.R2.T0.trimmomatic.megahit_bin.272_80.28_7.13
PKWP01	PKWP01
Bog.None.R2.T0.JGI.BFC.metaspades_bin.347_81.27_8.23	Bog.None.R2.T0.JGI.BFC.metaspades_bin.347_81.27_8.23
20170700_S34_36	20170700_S34_36
Palsa.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.113_71.00_8.58	Palsa.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.113_71.00_8.58
3300037355_2	3300037355_2
Bog.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.150_70.93_7.86	Bog.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.150_70.93_7.86
3300022861_2	3300022861_2
Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.177_70.33_7.55	Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.177_70.33_7.55
Bog.None.R2.T0.JGI.BFC.metaspades_bin.319_70.64_9.53	Bog.None.R2.T0.JGI.BFC.metaspades_bin.319_70.64_9.53
20120600_E3D_46	20120600_E3D_46
Palsa.Labelled.R1.T3.F1.trimmomatic.metaspades_bin.59_73.01_2.17	Palsa.Labelled.R1.T3.F1.trimmomatic.metaspades_bin.59_73.01_2.17
20120500_P19_9	20120500_P19_9
PLTJ01	PLTJ01
20110800_S3D_10	20110800_S3D_10
Bog.Labelled.R3.T2.F3.trimmomatic.metaspades_bin.139_70.64_1.24	Bog.Labelled.R3.T2.F3.trimmomatic.metaspades_bin.139_70.64_1.24
Bog.Unlabelled.R3.T2.F1.trimmomatic.metaspades_bin.139_76.75_2.07	Bog.Unlabelled.R3.T2.F1.trimmomatic.metaspades_bin.139_76.75_2.07
PMBQ01	PMBQ01
20150700_P21_2	20150700_P21_2
20110800_P2D_9	20110800_P2D_9
20120700_P3D_87	20120700_P3D_87
20120600_P2M_7	20120600_P2M_7
20110800_E2S_12	20110800_E2S_12
20111000_P3D_3	20111000_P3D_3
PMNP01	PMNP01
20150700_P24_5	20150700_P24_5
20120700_S1D_49	20120700_S1D_49
20120700_S1D_67	20120700_S1D_67
3300037231_11	3300037231_11
PLXM01	PLXM01
20130700_E1Y_5	20130700_E1Y_5
20150700_S15_15	20150700_S15_15
3300037132_15	3300037132_15
20111000_P1M_6	20111000_P1M_6
20160700_S11_1	20160700_S11_1
Fen.Unlabelled.R2.T3.F1.trimmomatic.metaspades_bin.37_73.98_5.96	Fen.Unlabelled.R2.T3.F1.trimmomatic.metaspades_bin.37_73.98_5.96
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.111_74.07_0.31	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.111_74.07_0.31
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.111_74.07_0.31	3300031525_30
PMDX01	PMDX01
PMDX01	20120600_E2D_52
20120500_P19_3	20120500_P19_3
20120500_P19_3	PKYH01
20110600_P3S_4	20110600_P3S_4
20110600_P3S_4	PMOV01
3300038461_4	3300038461_4
3300038461_4	20130700_E2X_3
20110800_S3S_35	20110800_S3S_35
20110800_S3S_35	PLES01
20120700_P3D_120	20120700_P3D_120
20120700_P3D_120	20111000_P1D_4
20120600_E2D_9	20120600_E2D_9
20120600_E2D_9	20120600_E1D_3
20120600_E2D_9	PMIK01
20120600_E2D_9	PMJS01
20110800_P1D_31	20110800_P1D_31
20110800_P1D_31	PNAT01
PLMN01	PLMN01
PLMN01	20120800_E2X_22
20120700_P3D_25	20120700_P3D_25
20120700_P3D_25	PLXU01
Fen.Labelled.R2.T3.F3.JGI.BFC.metaspades_bin.31_81.88_4.50	Fen.Labelled.R2.T3.F3.JGI.BFC.metaspades_bin.31_81.88_4.50
Fen.Labelled.R2.T3.F3.JGI.BFC.metaspades_bin.31_81.88_4.50	Fen.Labelled.R2.T2.F3.JGI.BFC.metaspades_bin.5_79.30_8.24
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.84_95.68_9.76	Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.84_95.68_9.76
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.84_95.68_9.76	Palsa.Unlabelled.R1.T3.F3.JGI.BFC.metaspades_bin.131_81.32_4.38
20120600_E2D_33	20120600_E2D_33
20120600_E2D_33	PMJN01
Bog.Labelled.R1.T2.F3.trimmomatic.metaspades_bin.118_92.33_1.72	Bog.Labelled.R1.T2.F3.trimmomatic.metaspades_bin.118_92.33_1.72
Bog.Labelled.R1.T2.F3.trimmomatic.metaspades_bin.118_92.33_1.72	Bog.Labelled.R1.T2.F3.JGI.BFC.metaspades_bin.66_85.85_0.98
20111000_P3M_41	20111000_P3M_41
20111000_P3M_41	PLCG01
20120500_P19_1	20120500_P19_1
20120500_P19_1	PKYN01
3300037136_8	3300037136_8
3300037136_8	3300037142_10
20130700_C2X_11	20130700_C2X_11
20130700_C2X_11	20130700_C1D_13
20130700_C2X_11	20130700_C1M_7
20130700_C2X_11	20160700_E15_10
20130700_C2X_11	20100900_E3D_14
20130700_C2X_11	3300037109_8
20160700_S11_6	20160700_S11_6
20160700_S11_6	Bog.None.R3.T0.JGI.BFC.metaspades_bin.210_80.74_2.03
20160700_S11_6	20110600_S3S_1
20160700_S11_6	20140700_S21_5
20111000_P3M_36	20111000_P3M_36
20111000_P3M_36	PLCH01
20110700_P2D_7	20110700_P2D_7
20110700_P2D_7	20120700_P3D_28
20140700_S33_15	20140700_S33_15
20140700_S33_15	20140700_S22_17
20130700_P1Y_11	20130700_P1Y_11
20130700_P1Y_11	20120800_P1D_4
PLNR01	PLNR01
PLNR01	20120800_E1X_13
20150700_S21_9	20150700_S21_9
20150700_S21_9	20111000_S1M_1
20120600_E2D_36	20120600_E2D_36
20120600_E2D_36	20120600_E1D_8
20120800_E3D_5	20120800_E3D_5
20120800_E3D_5	PLMI01
20120800_E3D_5	3300037088_14
3300037090_15	3300037090_15
20120700_P3D_140	20120700_P3D_140
20120700_P3D_140	PLZV01
20110800_S3D_14	20110800_S3D_14
20110800_S3D_14	20120800_E1D_22
20150700_E25_9	20150700_E25_9
20120800_E2X_6	20120800_E2X_6
20130700_C2M_13	20130700_C2M_13
20130700_C2M_13	3300037108_7
20120700_P3D_19	20120700_P3D_19
20120700_P3D_19	PLYS01
20150700_P13_8	20150700_P13_8
20150700_P13_8	20150700_P14_2
20120600_E2D_1	20120600_E2D_1
20120600_E2D_1	20120600_E1D_44
20120600_E2D_1	PMJO01
20120600_E2D_1	PMKQ01
20120600_E2D_1	20110700_E2M_3
Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.196_83.72_2.78	Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.196_83.72_2.78
Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.196_83.72_2.78	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.135_88.93_3.70
PLXY01	PLXY01
PLXY01	20120700_P3D_104
20110600_P1M_21	20110600_P1M_21
20110600_P1M_21	PMOH01
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.157_84.48_2.02	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.157_84.48_2.02
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.157_84.48_2.02	3300031525_23
20111000_P1M_7	20111000_P1M_7
20111000_P1M_7	20110600_P1M_14
20111000_P1M_7	PLEC01
20111000_P1M_7	PMOR01
PMCG01	PMCG01
PMCG01	20120600_E3D_30
20120600_E3D_42	20120600_E3D_42
20120600_E3D_42	PMIW01
PNAG01	PNAG01
PNAG01	20110800_P1D_2
PNAG01	20111000_P3M_26
PNAG01	PLBU01
PNAG01	20120500_P33_3
PNAG01	20110800_P1M_3
20120700_P3D_134	20120700_P3D_134
20120700_P3D_134	PLYY01
20140700_S32_12	20140700_S32_12
20140700_S32_12	20170700_S31_8
PMJF01	PMJF01
PMJF01	PMCQ01
20160700_E21_3	20160700_E21_3
20160700_E21_3	20111000_S3S_6
20160700_E21_3	20110800_S1S_14
20160700_E21_3	20110800_S3S_10
20160700_E21_3	PKZI01
20120700_P3D_57	20120700_P3D_57
20120700_P3D_57	PLYX01
20110700_P2D_37	20110700_P2D_37
20110700_P2M_8	20110700_P2M_8
20110700_P2M_2	20110700_P2M_2
20110700_P2M_2	PMTY01
20111000_P1D_14	20111000_P1D_14
20111000_P1D_14	20120500_P27_5
Bog.None.R3.T0.trimmomatic.megahit_bin.55_94.74_3.88	Bog.None.R3.T0.trimmomatic.megahit_bin.55_94.74_3.88
Bog.None.R3.T0.trimmomatic.megahit_bin.55_94.74_3.88	Bog.None.R3.T0.JGI.BFC.metaspades_bin.367_82.54_3.02
Bog.None.R3.T0.trimmomatic.megahit_bin.55_94.74_3.88	Bog.None.R2.T0.JGI.BFC.metaspades_bin.105_72.70_2.36
Bog.None.R3.T0.trimmomatic.megahit_bin.55_94.74_3.88	Bog.None.R2.T0.trimmomatic.megahit_bin.261_80.60_4.45
Bog.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.65_71.70_0.05	Bog.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.65_71.70_0.05
Bog.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.65_71.70_0.05	Bog.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.60_71.58_3.03
PMCJ01	PMCJ01
PMCJ01	PMDV01
20120700_S1D_55	20120700_S1D_55
20120700_S1D_55	PLRS01
20120500_P13_9	20120500_P13_9
20120500_P13_9	PKZD01
20120700_P3D_117	20120700_P3D_117
20110700_P2D_8	20110700_P2D_8
3300037049_8	3300037049_8
3300037049_8	20140700_E15_10
20150700_P21_1	20150700_P21_1
Palsa.Labelled.R1.T1.F2.trimmomatic.megahit_bin.16_70.72_6.45	Palsa.Labelled.R1.T1.F2.trimmomatic.megahit_bin.16_70.72_6.45
20111000_P3M_4	20111000_P3M_4
20111000_P3M_4	PLBK01
20150700_E15_6	20150700_E15_6
20150700_E15_6	20160700_E25_18
20150700_P21_10	20150700_P21_10
20150700_P21_10	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.38_88.36_8.43
Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.77_83.91_2.81	Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.77_83.91_2.81
Bog.Unlabelled.R3.T3.F3.trimmomatic.metaspades_bin.162_74.65_1.37	Bog.Unlabelled.R3.T3.F3.trimmomatic.metaspades_bin.162_74.65_1.37
3300022824_1	3300022824_1
3300022824_1	3300023060_1
20110800_E2D_3	20110800_E2D_3
20110800_E2D_3	PMYD01
PLND01	PLND01
PLND01	20120800_E2D_6
20110600_P1D_4	20110600_P1D_4
20110600_P1D_4	PMOB01
3300037149_6	3300037149_6
3300037149_6	3300022877_4
PMDZ01	PMDZ01
PMDZ01	PMCO01
20120600_P3M_3	20120600_P3M_3
20120600_P3M_3	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.342_72.37_1.39
PKYU01	PKYU01
PKYU01	20120500_P16_5
20110600_P3S_13	20110600_P3S_13
20110600_P3S_13	20120600_P3S_1
20120600_E1D_41	20120600_E1D_41
20120600_E1D_41	PMLI01
20120600_E1D_13	20120600_E1D_13
20120600_E1D_13	20110800_E1S_7
20120500_P32_8	20120500_P32_8
20120500_P32_8	PKWC01
20111000_S1D_3	20111000_S1D_3
20111000_S1D_3	20150700_S33_4
3300037394_5	3300037394_5
3300037394_5	20110700_P1M_4
3300037394_5	20110800_P3M_5
3300037394_5	PMSR01
3300037394_5	3300037157_4
20110800_E3D_4	20110800_E3D_4
20110800_E3D_4	PMZP01
Fen.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.1_80.98_2.08	Fen.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.1_80.98_2.08
Fen.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.1_80.98_2.08	Fen.Unlabelled.R4.T3.F4.trimmomatic.megahit_bin.72_72.54_4.09
20150700_P15_12	20150700_P15_12
20150700_P15_12	20150700_P14_16
20120600_E2D_19	20120600_E2D_19
20120600_E2D_19	PMKE01
PMCY01	PMCY01
PMCY01	PMBE01
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.189_99.25_4.26	Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.189_99.25_4.26
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.189_99.25_4.26	Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.317_98.63_5.76
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.189_99.25_4.26	Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.54_91.75_3.07
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.189_99.25_4.26	Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.68_86.11_6.63
3300037138_9	3300037138_9
3300037138_9	3300037353_10
20111000_P1M_1	20111000_P1M_1
20111000_P1M_1	PLDZ01
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.234_85.78_3.99	Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.234_85.78_3.99
Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.234_85.78_3.99	Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.307_71.76_3.60
Fen.Labelled.R1.T3.F1.trimmomatic.metaspades_bin.123_80.03_3.65	Fen.Labelled.R1.T3.F1.trimmomatic.metaspades_bin.123_80.03_3.65
Fen.Labelled.R1.T3.F1.trimmomatic.metaspades_bin.123_80.03_3.65	Fen.Labelled.R1.T3.F1.trimmomatic.megahit_bin.81_80.73_5.00
20111000_S3S_8	20111000_S3S_8
20111000_S3S_8	20110800_S3S_16
20120700_P3D_93	20120700_P3D_93
20120700_P3D_93	PLXP01
20120700_P3D_93	20120500_P26_7
20120700_P3D_93	PLEE01
20120700_P3D_93	20111000_P1D_9
20120700_P3D_93	20120500_P27_9
Fen.Labelled.R3.T2.F4.trimmomatic.metaspades_bin.48_70.31_1.37	Fen.Labelled.R3.T2.F4.trimmomatic.metaspades_bin.48_70.31_1.37
Fen.Labelled.R3.T2.F4.trimmomatic.metaspades_bin.48_70.31_1.37	Fen.Labelled.R3.T2.F4.JGI.BFC.metaspades_bin.13_76.83_6.22
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.266_95.09_2.14	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.266_95.09_2.14
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.266_95.09_2.14	Palsa.Unlabelled.R1.T2.F3.JGI.BFC.metaspades_bin.32_93.80_2.28
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.266_95.09_2.14	Palsa.Unlabelled.R1.T2.F3.trimmomatic.megahit_bin.86_91.32_2.28
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.266_95.09_2.14	Palsa.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.76_92.78_2.99
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.266_95.09_2.14	Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.139_91.67_2.65
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.266_95.09_2.14	Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.191_90.64_2.56
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.266_95.09_2.14	Palsa.Unlabelled.R1.T3.F3.JGI.BFC.metaspades_bin.44_92.52_2.99
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.266_95.09_2.14	Palsa.Labelled.R3.T2.F3.trimmomatic.metaspades_bin.44_89.33_2.14
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.266_95.09_2.14	Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.202_91.32_3.47
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.266_95.09_2.14	Palsa.Labelled.R3.T3.F3.trimmomatic.megahit_bin.16_85.34_2.14
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.266_95.09_2.14	Palsa.Labelled.R3.T2.F3.JGI.BFC.metaspades_bin.43_89.39_1.40
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.266_95.09_2.14	Palsa.Labelled.R3.T3.F3.JGI.BFC.metaspades_bin.59_89.62_2.71
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.266_95.09_2.14	Palsa.Unlabelled.R1.T2.F3.trimmomatic.metaspades_bin.78_89.53_4.27
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.266_95.09_2.14	Palsa.Labelled.R3.T2.F3.trimmomatic.megahit_bin.33_89.23_4.44
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.266_95.09_2.14	Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.107_86.17_6.53
Bog.None.R1.T0.trimmomatic.megahit_bin.233_80.97_3.18	Bog.None.R1.T0.trimmomatic.megahit_bin.233_80.97_3.18
Bog.None.R1.T0.trimmomatic.megahit_bin.233_80.97_3.18	Bog.None.R2.T0.trimmomatic.megahit_bin.158_74.87_1.69
20120600_E3D_27	20120600_E3D_27
20120600_E3D_27	20120600_E2D_44
20170700_S31_11	20170700_S31_11
20170700_S31_11	20130700_S3S_4
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.307_94.82_5.10	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.307_94.82_5.10
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.307_94.82_5.10	Palsa.Labelled.R3.T1.F3.trimmomatic.metaspades_bin.49_76.16_2.37
20110800_E3D_15	20110800_E3D_15
20110800_E3D_15	3300037225_13
20110800_P3M_11	20110800_P3M_11
20110800_P3M_11	PLIX01
20110800_P3M_11	20110700_P2M_12
20110800_P3M_11	20110700_P3M_8
20110800_P3M_11	20120700_P1M_7
20120500_P28_14	20120500_P28_14
20120500_P28_14	PKWR01
20120500_P27_1	20120500_P27_1
20120500_P27_1	20120500_P17_4
20120700_P3D_55	20120700_P3D_55
20120700_P3D_55	20110800_E2D_27
20120700_S1D_95	20120700_S1D_95
20120700_S1D_95	PLSZ01
3300037155_22	3300037155_22
3300037155_22	20130700_C1X_12
20160700_P15_9	20160700_P15_9
20160700_P15_9	20120500_P13_7
20130700_C2X_12	20130700_C2X_12
20140700_E15_14	20140700_E15_14
20140700_E15_14	20110800_E1D_11
20140700_E15_14	PMXR01
Fen.Labelled.R1.T3.F2.trimmomatic.metaspades_bin.6_85.99_2.20	Fen.Labelled.R1.T3.F2.trimmomatic.metaspades_bin.6_85.99_2.20
Fen.Labelled.R1.T3.F2.trimmomatic.metaspades_bin.6_85.99_2.20	Fen.Labelled.R1.T3.F2.trimmomatic.megahit_bin.30_74.78_1.10
20110600_P1M_15	20110600_P1M_15
20110600_P1M_15	PMOP01
20150700_S23_2	20150700_S23_2
20150700_S23_2	20111000_S1D_10
20150700_S23_2	20160700_S33_2
20150700_S23_2	20150700_S11_1
20150700_S23_2	20170700_S31_9
20150700_S23_2	20140700_S32_8
Fen.Unlabelled.R1.T3.F1.trimmomatic.metaspades_bin.92_75.18_3.17	Fen.Unlabelled.R1.T3.F1.trimmomatic.metaspades_bin.92_75.18_3.17
Fen.Unlabelled.R1.T3.F1.trimmomatic.metaspades_bin.92_75.18_3.17	Fen.Unlabelled.R2.T3.F1.trimmomatic.metaspades_bin.2_73.11_8.35
20150700_P13_7	20150700_P13_7
20150700_P13_7	20150700_P14_3
20120700_S1D_48	20120700_S1D_48
20120700_S1D_48	PLSX01
PMMV01	PMMV01
PMMV01	20100900_E3D_21
PMMV01	PMNL01
PMMV01	PMBJ01
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Labelled.R1.T2.F1.trimmomatic.metaspades_bin.35_83.86_0.80
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Unlabelled.R2.T1.F1.trimmomatic.metaspades_bin.16_83.13_0.80
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Unlabelled.R3.T1.F1.trimmomatic.metaspades_bin.70_79.20_1.87
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.105_81.22_1.20
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Unlabelled.R3.T2.F1.trimmomatic.metaspades_bin.18_75.52_0.00
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Labelled.R2.T2.F1.trimmomatic.metaspades_bin.57_80.79_2.40
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	PMMY01
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Unlabelled.R1.T1.F1.trimmomatic.metaspades_bin.18_78.79_1.60
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Unlabelled.R1.T3.F1.trimmomatic.megahit_bin.70_78.60_1.60
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Unlabelled.R1.T3.F1.trimmomatic.metaspades_bin.103_70.94_0.80
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Labelled.R1.T2.F1.trimmomatic.megahit_bin.37_82.87_2.40
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Labelled.R1.T1.F1.trimmomatic.metaspades_bin.7_80.00_4.00
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Labelled.R2.T1.F1.JGI.BFC.metaspades_bin.7_80.70_3.64
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Labelled.R2.T3.F1.trimmomatic.megahit_bin.60_76.58_3.24
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Labelled.R2.T3.F1.trimmomatic.metaspades_bin.35_77.55_4.44
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Labelled.R2.T1.F2.trimmomatic.megahit_bin.33_75.70_4.00
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Labelled.R2.T2.F1.JGI.BFC.metaspades_bin.36_84.98_5.60
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Labelled.R3.T1.F1.JGI.BFC.metaspades_bin.17_91.10_7.60
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Unlabelled.R1.T2.F1.trimmomatic.megahit_bin.66_73.30_3.47
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.2_73.89_4.40
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Unlabelled.R2.T3.F1.trimmomatic.megahit_bin.72_79.99_5.64
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Labelled.R3.T2.F1.trimmomatic.megahit_bin.18_82.32_8.80
Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00	Fen.Unlabelled.R2.T1.F1.trimmomatic.megahit_bin.15_78.99_8.00
PMLO01	PMLO01
PMLO01	20120600_E1D_33
20110800_E2D_20	20110800_E2D_20
20110800_E2D_20	20120700_P3D_4
20110800_E2D_20	PLZI01
20110800_E2D_20	PMYO01
20110800_E2D_20	3300037087_17
20111000_P3M_15	20111000_P3M_15
20111000_P3M_15	20110800_P1D_15
20111000_S1D_6	20111000_S1D_6
20111000_S1D_6	PLBE01
20120700_P3D_24	20120700_P3D_24
20120700_P3D_24	PLYK01
3300037155_12	3300037155_12
3300037155_12	3300037076_16
20120700_S1D_70	20120700_S1D_70
20120700_S1D_70	PLTA01
20111000_P2M_7	20111000_P2M_7
20111000_P2M_7	PLDF01
20120700_P3D_34	20120700_P3D_34
20120700_P3D_34	PLYQ01
20120700_S1D_66	20120700_S1D_66
20120700_S1D_66	PLSY01
20110800_P1D_18	20110800_P1D_18
20110800_P1D_18	20110800_P1M_13
20110800_P1D_18	PLJQ01
20110800_P1D_18	PNAO01
20130700_C1Y_7	20130700_C1Y_7
20130700_C1Y_7	3300037184_16
20120700_S1D_12	20120700_S1D_12
20120700_S1D_12	PLSP01
20120700_P3D_127	20120700_P3D_127
20120700_P3D_127	PLYU01
20110800_S3S_9	20110800_S3S_9
20110800_S3S_9	PLEU01
20120700_P3D_135	20120700_P3D_135
20120700_P3D_135	PLWT01
20110600_P1M_24	20110600_P1M_24
20110600_P1M_24	PMOE01
Bog.None.R3.T0.JGI.BFC.metaspades_bin.275_96.71_5.17	Bog.None.R3.T0.JGI.BFC.metaspades_bin.275_96.71_5.17
Bog.None.R3.T0.JGI.BFC.metaspades_bin.275_96.71_5.17	Bog.None.R2.T0.JGI.BFC.metaspades_bin.245_98.01_6.47
20120700_P3D_89	20120700_P3D_89
20120700_P3D_89	PLWW01
20120800_E3S_17	20120800_E3S_17
20120800_E3S_17	PLLV01
PMBT01	PMBT01
PMBT01	20120600_E2D_59
PMBT01	PMDI01
PMBT01	PMJW01
PMBT01	20110800_E2M_8
PMBT01	20120600_E1D_27
20120700_P3D_141	20120700_P3D_141
20120700_P3D_141	20111000_P1D_8
20120600_S1D_1	20120600_S1D_1
20120600_S1D_1	PMHC01
Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.75_85.15_2.19	Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.75_85.15_2.19
Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.75_85.15_2.19	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.208_78.15_8.21
20120500_P32_4	20120500_P32_4
20120500_P32_4	PKWD01
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.96_88.84_2.56	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.96_88.84_2.56
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.96_88.84_2.56	20150700_P11_7
20120600_E1D_9	20120600_E1D_9
20120600_E1D_9	20120600_E2D_22
20150700_P11_6	20150700_P11_6
20150700_P11_6	20150700_P13_11
